Date,Model,Batch_size,epochs,Learning_rate,Training_Report,Confusion_Matrix,acc,val_acc,loss,val_loss,DATA_TYPE
Wed Oct  5 22:45:46 2022,MobileNet,32,30,0.0001,"              precision    recall  f1-score   support

      Benign       0.74      0.66      0.70       391
          CC       0.52      0.59      0.55       320
        Calc       0.93      0.84      0.88       347
         MLO       0.60      0.54      0.57       352
        Mass       0.85      0.93      0.89       325
   Melignant       0.58      0.78      0.67       281

   micro avg       0.70      0.72      0.71      2016
   macro avg       0.70      0.72      0.71      2016
weighted avg       0.71      0.72      0.71      2016
 samples avg       0.71      0.72      0.71      2016
",192_89_132_259_174_178_130_190_304_21_56_291_191_129_162_190_294_53_24_301_235_156_63_218_,,,,,
Wed Oct  5 23:01:03 2022,MobileNet,32,30,5e-05,"              precision    recall  f1-score   support

      Benign       0.73      0.75      0.74       391
          CC       0.52      0.68      0.59       320
        Calc       0.88      0.91      0.90       347
         MLO       0.57      0.57      0.57       352
        Mass       0.90      0.86      0.88       325
   Melignant       0.63      0.64      0.64       281

   micro avg       0.70      0.74      0.72      2016
   macro avg       0.71      0.73      0.72      2016
weighted avg       0.71      0.74      0.72      2016
 samples avg       0.71      0.74      0.71      2016
",175_106_99_292_152_200_104_216_281_44_30_317_170_150_150_202_315_32_46_279_287_104_101_180_,,,,,
Wed Oct  5 23:05:23 2022,MobileNet,32,50,1e-06,"              precision    recall  f1-score   support

      Benign       0.75      0.72      0.74       391
          CC       0.53      0.60      0.56       320
        Calc       0.89      0.91      0.90       347
         MLO       0.57      0.54      0.56       352
        Mass       0.88      0.89      0.88       325
   Melignant       0.63      0.70      0.66       281

   micro avg       0.71      0.73      0.72      2016
   macro avg       0.71      0.73      0.72      2016
weighted avg       0.71      0.73      0.72      2016
 samples avg       0.72      0.73      0.71      2016
",187_94_109_282_181_171_129_191_287_38_31_316_176_144_161_191_309_38_37_288_277_114_85_196_,,,,,
Wed Oct  5 23:10:50 2022,MobileNet,32,50,5e-07,"              precision    recall  f1-score   support

      Benign       0.75      0.73      0.74       391
          CC       0.52      0.60      0.56       320
        Calc       0.89      0.91      0.90       347
         MLO       0.58      0.54      0.56       352
        Mass       0.89      0.87      0.88       325
   Melignant       0.64      0.70      0.67       281

   micro avg       0.71      0.73      0.72      2016
   macro avg       0.71      0.73      0.72      2016
weighted avg       0.71      0.73      0.72      2016
 samples avg       0.72      0.73      0.71      2016
",184_97_104_287_174_178_128_192_286_39_30_317_180_140_161_191_312_35_41_284_280_111_84_197_,,,,,
Wed Oct  5 23:13:08 2022,MobileNet,32,20,0.0001,"              precision    recall  f1-score   support

      Benign       0.68      0.84      0.75       391
        Calc       0.83      0.93      0.88       347
        Mass       0.92      0.82      0.86       325
   Melignant       0.63      0.54      0.58       281

   micro avg       0.76      0.79      0.78      1344
   macro avg       0.76      0.78      0.77      1344
weighted avg       0.76      0.79      0.77      1344
 samples avg       0.77      0.79      0.78      1344
",124_157_63_328_258_67_24_323_323_24_60_265_303_88_130_151_,,,,,
Wed Oct  5 23:16:07 2022,MobileNet,32,30,5e-05,"              precision    recall  f1-score   support

      Benign       0.66      0.87      0.75       391
        Calc       0.88      0.92      0.90       347
        Mass       0.89      0.90      0.89       325
   Melignant       0.69      0.43      0.53       281

   micro avg       0.78      0.80      0.79      1344
   macro avg       0.78      0.78      0.77      1344
weighted avg       0.78      0.80      0.78      1344
 samples avg       0.79      0.80      0.79      1344
",106_175_50_341_280_45_28_319_311_36_34_291_336_55_159_122_,,,,,
Wed Oct  5 23:20:28 2022,MobileNet,32,50,1e-06,"              precision    recall  f1-score   support

      Benign       0.72      0.73      0.72       391
        Calc       0.87      0.93      0.90       347
        Mass       0.91      0.87      0.89       325
   Melignant       0.60      0.63      0.62       281

   micro avg       0.78      0.79      0.79      1344
   macro avg       0.78      0.79      0.78      1344
weighted avg       0.78      0.79      0.79      1344
 samples avg       0.79      0.79      0.79      1344
",172_109_107_284_279_46_26_321_319_28_41_284_276_115_105_176_,,,,,
Thu Oct  6 13:40:43 2022,MobileNet,32,50,0.001,"              precision    recall  f1-score   support

      Benign       0.72      0.69      0.70       391
        Calc       0.88      0.91      0.89       347
        Mass       0.90      0.86      0.88       325
   Melignant       0.64      0.55      0.59       281

   micro avg       0.79      0.76      0.78      1344
   macro avg       0.78      0.75      0.77      1344
weighted avg       0.79      0.76      0.77      1344
 samples avg       0.79      0.76      0.77      1344
",174_107_122_269_280_45_30_317_317_30_44_281_302_89_126_155_,,,,,
Thu Oct  6 13:48:40 2022,MobileNet,32,50,1e-05,"              precision    recall  f1-score   support

      Benign       0.74      0.67      0.71       391
        Calc       0.85      0.93      0.89       347
        Mass       0.91      0.85      0.88       325
   Melignant       0.59      0.68      0.64       281

   micro avg       0.78      0.78      0.78      1344
   macro avg       0.77      0.78      0.78      1344
weighted avg       0.78      0.78      0.78      1344
 samples avg       0.78      0.78      0.78      1344
",190_91_128_263_270_55_26_321_319_28_48_277_260_131_89_192_,,,,,
Thu Oct  6 14:22:53 2022,MobileNet,32,50,1e-07,"              precision    recall  f1-score   support

      Benign       0.74      0.68      0.71       391
        Calc       0.86      0.92      0.89       347
        Mass       0.91      0.85      0.88       325
   Melignant       0.60      0.68      0.63       281

   micro avg       0.78      0.78      0.78      1344
   macro avg       0.78      0.78      0.78      1344
weighted avg       0.78      0.78      0.78      1344
 samples avg       0.79      0.78      0.78      1344
",188_93_125_266_272_53_27_320_319_28_48_277_262_129_91_190_,,,,,
