path,dog,cat
D:\111project\github\041-111project\data\CatsandDogs\train\cat.0.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.1.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.100.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.1000.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10000.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10001.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10002.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10003.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10004.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10005.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10006.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10007.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10008.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10009.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.1001.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10010.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10011.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10012.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10013.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10014.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10015.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10016.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10017.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10018.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.10019.jpg,0,1
D:\111project\github\041-111project\data\CatsandDogs\train\cat.1002.jpg,0,1
